category,skill,level,question,answer
Frontend,HTML,Hard,What is the difference between quirks mode and standards mode?,"Quirks mode emulates old browsers, standards mode follows modern HTML/CSS rules."
Frontend,HTML,Hard,How does HTML5 improve SEO compared to HTML4?,"Semantic tags like <article>, <section>, <nav> help search engines understand content."
Frontend,HTML,Hard,"What is the difference between microdata, RDFa, and JSON-LD?","All provide structured data; JSON-LD is preferred by Google, microdata is inline, RDFa uses attributes."
Frontend,HTML,Hard,"What is the difference between <meta name=""keywords""> and <meta name=""description"">?","Keywords are mostly ignored by search engines, description is used in search snippets."
Frontend,HTML,Hard,"What is the difference between rel=""noopener"" and rel=""noreferrer"" in links?","noopener prevents window.opener access, noreferrer hides referrer information."
Frontend,HTML,Hard,What is the difference between sandbox attribute in <iframe> and CSP?,"Sandbox restricts iframe capabilities, CSP controls overall resource security."
Frontend,HTML,Hard,What is the difference between progressive rendering and lazy loading?,"Progressive rendering loads content as it arrives, lazy loading defers offscreen content."
Frontend,HTML,Hard,What is the difference between <picture> and <img srcset>?,"<picture> gives full control for responsive images, srcset selects best resolution."
Frontend,HTML,Hard,What is the difference between accessibility tree and DOM tree?,"DOM is full HTML structure, accessibility tree is simplified view for assistive tech."
Frontend,HTML,Hard,"What is the difference between aria-hidden=""true"" and hidden attribute?","aria-hidden hides from screen readers only, hidden hides from all users."
Frontend,HTML,Hard,What is the difference between Shadow DOM and regular DOM?,"Shadow DOM encapsulates styles/components, regular DOM is global."
Frontend,HTML,Hard,What is the difference between <slot> in web components and <template>?,"<slot> is a placeholder in Shadow DOM, <template> defines reusable HTML fragments."
Frontend,HTML,Hard,What is the difference between <noscript> and feature detection in JS?,"<noscript> shows fallback when JS is disabled, feature detection adapts dynamically."
Frontend,HTML,Hard,What is the difference between WebSockets and Server-Sent Events in HTML5?,"WebSockets allow bidirectional communication, SSE is one-way server → client."
Frontend,HTML,Hard,What is the difference between <progress> max value and <meter> value range?,"<progress> shows task completion up to max, <meter> represents a bounded measurement."
Frontend,HTML,Hard,What is the difference between contenteditable attribute and textarea?,"contenteditable allows inline editing of any element, <textarea> is a form field."
Frontend,HTML,Hard,What is the difference between autofocus and tabindex attributes?,"autofocus gives focus on load, tabindex controls tab order navigation."
Frontend,HTML,Hard,What is the difference between passive event listeners and regular ones in HTML5?,Passive listeners improve scroll performance by preventing default blocking.
Frontend,HTML,Hard,What is the difference between preloading and prefetching in HTML?,"Preload fetches resources needed soon, prefetch fetches resources likely needed later."
Frontend,HTML,Hard,What is the difference between defer and module type in scripts?,"defer runs after parsing, type=""module"" also supports import/export."
Frontend,HTML,Hard,What is the difference between crossorigin attribute in images and scripts?,"It enables CORS requests for external resources like fonts, images, scripts."
Frontend,HTML,Hard,What is the difference between HTTP/1.1 and HTTP/2 in terms of HTML rendering?,"HTTP/2 allows multiplexing, faster loading, fewer <link> hacks."
Frontend,HTML,Hard,"What is the difference between cookies, localStorage, sessionStorage, and IndexedDB?","Cookies store small data with server access, localStorage persists, sessionStorage clears per tab, IndexedDB is large structured storage."
Frontend,HTML,Hard,What is the difference between service workers and web workers?,"Service workers run in background, handle caching/offline, web workers run parallel tasks."
Frontend,HTML,Hard,What is the difference between manifest.json in PWA and cache storage?,"Manifest defines app metadata, cache storage handles offline assets."
Frontend,HTML,Hard,What is the difference between semantic HTML and ARIA roles?,"Semantic HTML is built-in meaning, ARIA roles extend accessibility when semantics aren’t enough."
Frontend,HTML,Hard,What is the difference between intrinsic and extrinsic sizing in HTML elements?,"Intrinsic is based on content size, extrinsic is based on CSS/layout constraints."
Frontend,HTML,Hard,What is the difference between stacking context and z-index in HTML/CSS?,"Stacking context is a hierarchy of elements, z-index works only within its context."
Frontend,HTML,Hard,What is the difference between DOMContentLoaded and load event?,"DOMContentLoaded fires after HTML parsing, load fires after all resources load."
Frontend,HTML,Hard,What is the difference between Critical Rendering Path and Repaint/Reflow?,"CRP is the steps browser takes to render, repaint is visual update, reflow recalculates layout."
Frontend,HTML,Hard,What is the difference between inline scripts blocking vs async scripts?,"Inline and sync scripts block parsing, async scripts load in parallel."
Frontend,HTML,Hard,What is the difference between FOUC and FOIT in HTML rendering?,"FOUC = Flash of Unstyled Content, FOIT = Flash of Invisible Text (fonts)."
Frontend,HTML,Hard,What is the difference between DNS prefetch and preconnect?,"DNS-prefetch resolves domain, preconnect establishes early TCP/SSL."
Frontend,HTML,Hard,"What is the difference between link rel=""canonical"" and rel=""alternate""?","Canonical specifies preferred URL, alternate is for translations or AMP pages."
Frontend,HTML,Hard,What is the difference between AMP HTML and regular HTML?,"AMP is a restricted, optimized HTML for faster loading on mobile."
Frontend,HTML,Hard,What is the difference between hydration in SSR and static HTML rendering?,"Hydration attaches JS to server-rendered HTML, static HTML has no interactivity."
Frontend,HTML,Hard,What is the difference between CSP script-src 'self' and 'unsafe-inline'?,"'self' allows only same-origin scripts, 'unsafe-inline' allows inline scripts (less secure)."
Frontend,HTML,Hard,"What is the difference between rel=""preload"" and rel=""dns-prefetch""?","Preload fetches critical resources, dns-prefetch resolves domain lookup only."
Frontend,HTML,Hard,"What is the difference between lazy loading images with loading=""lazy"" and JS-based lazy load?","Native loading=""lazy"" is browser-managed, JS-based uses IntersectionObserver."
Frontend,HTML,Hard,What is the difference between srcdoc attribute in iframe and src?,"srcdoc provides inline HTML code, src loads external URL."
Frontend,HTML,Hard,What is the difference between <object> and <embed> tags?,"<object> is more flexible and standard, <embed> is simpler but less supported."
Frontend,HTML,Hard,What is the difference between inline-block and flex containers for HTML layouts?,"Inline-block aligns inline but doesn’t support full layout features, flex provides alignment and spacing."
Frontend,HTML,Hard,"What is the difference between viewport units (vh, vw) and percentages?","VH/VW are relative to viewport size, % is relative to parent container."
Frontend,HTML,Hard,What is the difference between nosniff header and MIME type in HTML resources?,X-Content-Type-Options: nosniff prevents browser from guessing MIME type.
Frontend,HTML,Hard,What is the difference between HTML parsing error handling in browsers?,"Browsers follow error-tolerant parsing, not strict like XML."
Frontend,HTML,Hard,What is the difference between <isindex> tag and modern search inputs?,"<isindex> was an old single-input search element, replaced by <input type=""search"">."
Frontend,HTML,Hard,What is the difference between Shadow DOM closed mode and open mode?,"Open mode allows JS access via .shadowRoot, closed mode prevents it."
Frontend,HTML,Hard,What is the difference between document.write and DOM methods for adding elements?,"document.write blocks rendering and is discouraged, DOM methods are safer and dynamic."
Frontend,CSS,Easy,Explain what CSS stands for.,"CSS stands for Cascading Style Sheets, used to style HTML elements."
Frontend,CSS,Easy,How do you link a CSS file to an HTML page?,"Using the <link rel=""stylesheet"" href=""style.css""> tag inside <head>."
Frontend,CSS,Easy,Which attribute inside HTML tags allows inline CSS?,The style attribute.
Frontend,CSS,Easy,Give an example of a CSS property for text color.,color: red;
Frontend,CSS,Easy,"State the difference between inline, internal, and external CSS.","Inline uses style attribute, internal uses <style> inside HTML, external uses a separate .css file."
Frontend,CSS,Easy,Mention the symbol used for IDs in CSS.,# is used for IDs.
Frontend,CSS,Easy,Mention the symbol used for classes in CSS.,. is used for classes.
Frontend,CSS,Easy,How do you change background color with CSS?,background-color: yellow;
Frontend,CSS,Easy,Write the CSS to make text bold.,font-weight: bold;
Frontend,CSS,Easy,Which CSS property is used for text size?,font-size
Frontend,CSS,Easy,How do you underline text in CSS?,text-decoration: underline;
Frontend,CSS,Easy,What is the default position property of HTML elements?,static
Frontend,CSS,Easy,Name the CSS property used to align text to the center.,text-align: center;
Frontend,CSS,Easy,How do you make a list without bullets using CSS?,list-style-type: none;
Frontend,CSS,Easy,Which property controls spacing between lines of text?,line-height
Frontend,CSS,Easy,How do you apply multiple classes to a single element?,"Add them separated by spaces: class=""class1 class2""."
Frontend,CSS,Easy,Which CSS property is used to add space inside an element’s border?,padding
Frontend,CSS,Easy,Which CSS property adds space outside an element’s border?,margin
Frontend,CSS,Easy,What is the difference between relative and absolute units in CSS?,"Relative units depend on other values (e.g., %, em), absolute units are fixed (e.g., px)."
Frontend,CSS,Easy,How do you make an element’s font italic in CSS?,font-style: italic;
Frontend,CSS,Easy,Which CSS property changes the typeface of text?,font-family
Frontend,CSS,Easy,How do you change the width of a border in CSS?,Using border-width.
Frontend,CSS,Easy,Write CSS to create a dashed border.,border: 2px dashed blue;
Frontend,CSS,Easy,What is the difference between inline-block and block display?,"Block takes full width, inline-block allows inline placement with block properties."
Frontend,CSS,Easy,How do you hide an element but keep its space reserved?,visibility: hidden;
Frontend,CSS,Easy,How do you hide an element and remove its space completely?,display: none;
Frontend,CSS,Easy,Which property controls how content overflows a box?,overflow
Frontend,CSS,Easy,Write CSS to make an element fixed at the top.,position: fixed; top: 0;
Frontend,CSS,Easy,Explain the difference between absolute and fixed positioning.,"Absolute is positioned relative to the nearest positioned ancestor, fixed is relative to the viewport."
Frontend,CSS,Easy,Which CSS property controls cursor style?,cursor
Frontend,CSS,Easy,How do you make a background image repeat horizontally only?,background-repeat: repeat-x;
Frontend,CSS,Easy,Which property controls background image size?,background-size
Frontend,CSS,Easy,How do you create a gradient background in CSS?,"Using background: linear-gradient(color1, color2);"
Frontend,CSS,Easy,Which CSS property changes the opacity of an element?,opacity
Frontend,CSS,Easy,What is the difference between em and rem units?,"em is relative to parent font size, rem is relative to root font size."
Frontend,CSS,Easy,Which property changes capitalization of text?,text-transform
Frontend,CSS,Easy,Give the CSS to make the first letter of a paragraph larger.,Use pseudo-element: p::first-letter { font-size: 200%; }
Frontend,CSS,Easy,How do you select all <p> tags inside a <div>?,div p { ... }
Frontend,CSS,Easy,Which selector is used for hover effects?,:hover
Frontend,CSS,Easy,Write CSS to apply style only to even rows of a table.,tr:nth-child(even) { ... }
Frontend,CSS,Easy,How do you apply a style only if an input is focused?,Using input:focus { ... }
Frontend,CSS,Easy,How do you center a block element horizontally with CSS?,margin: 0 auto;
Frontend,CSS,Easy,Explain the difference between inline and block elements in CSS terms.,"Inline doesn’t start on a new line, block takes full width."
Frontend,CSS,Easy,Which CSS property controls element stacking order?,z-index
Frontend,CSS,Easy,Which property allows rounded corners?,border-radius
Frontend,CSS,Easy,What is the difference between relative and absolute paths in CSS URLs?,"Relative depends on file location, absolute uses full path."
Frontend,CSS,Easy,How do you make an image responsive in CSS?,max-width: 100%; height: auto;
Frontend,CSS,Easy,Write CSS to fix a footer at the bottom of the page.,position: fixed; bottom: 0; width: 100%;
Frontend,CSS,Easy,Which property is used for shadow effects?,box-shadow or text-shadow.
Frontend,CSS,Easy,What is the difference between inline-style and external CSS in terms of performance?,"External CSS is cached and reusable, inline must load every time."
Frontend,CSS,Medium,"Differentiate between relative, absolute, fixed, and sticky positioning.","Relative moves based on its normal position, absolute positions relative to ancestor, fixed is relative to viewport, sticky toggles between relative/fixed depending on scroll."
Frontend,CSS,Medium,How does the z-index property work when elements overlap?,"It defines stack order; higher values appear above lower ones, but only works on positioned elements."
Frontend,CSS,Medium,Which CSS property ensures a child element doesn’t overflow its parent container?,overflow: hidden;
Frontend,CSS,Medium,How would you make an element appear only on print view?,Use @media print { ... }.
Frontend,CSS,Medium,What is the difference between inline-block and flex layout?,Inline-block arranges items inline but lacks advanced alignment; flex provides powerful alignment/distribution controls.
Frontend,CSS,Medium,When should you use min-width vs max-width in media queries?,"min-width applies styles on wider screens (mobile-first), max-width applies styles on narrower screens (desktop-first)."
Frontend,CSS,Medium,"Explain the difference between absolute units (px) and relative units (em, %, vh).",Absolute is fixed; relative units scale based on parent or viewport.
Frontend,CSS,Medium,How can you center an element vertically inside a container using Flexbox?,display: flex; align-items: center;
Frontend,CSS,Medium,What is the difference between relative length units em and rem?,"em depends on parent’s font size, rem depends on root (html) font size."
Frontend,CSS,Medium,Which CSS property allows you to control the aspect ratio of elements?,aspect-ratio.
Frontend,CSS,Medium,How do you select an element that comes immediately after another element?,Adjacent sibling selector A + B.
Frontend,CSS,Medium,Explain the difference between pseudo-classes and pseudo-elements.,"Pseudo-classes (:hover) define states, pseudo-elements (::before) create virtual elements."
Frontend,CSS,Medium,How would you apply a style to all <p> elements inside a <div> with class box?,.box p { ... }
Frontend,CSS,Medium,Write CSS to make only the first child of a list bold.,li:first-child { font-weight: bold; }
Frontend,CSS,Medium,What’s the difference between absolute and relative file paths in CSS url()?,"Relative depends on stylesheet location, absolute includes full path."
Frontend,CSS,Medium,How do you create a fixed responsive grid without using frameworks?,"Use display: grid; grid-template-columns: repeat(auto-fit, minmax(...));."
Frontend,CSS,Medium,What is the difference between relative and sticky positioning?,"Sticky behaves like relative until a scroll threshold, then sticks like fixed."
Frontend,CSS,Medium,How do you apply different styles for dark mode users?,Using @media (prefers-color-scheme: dark) { ... }.
Frontend,CSS,Medium,Write CSS to style all <input> elements except checkboxes.,input:not([type=checkbox]) { ... }
Frontend,CSS,Medium,What is the difference between CSS transitions and animations?,"Transitions need a trigger (like hover), animations run automatically with keyframes."
Frontend,CSS,Medium,How can you create a triangle shape in CSS without images?,Using borders: width:0; height:0; border-left:...; border-right:...; border-bottom:...;.
Frontend,CSS,Medium,Which CSS function is used for color transparency?,rgba() or hsla().
Frontend,CSS,Medium,What is the difference between absolute and relative positioning inside a flex container?,"Absolute ignores flex rules, relative still participates in flex layout."
Frontend,CSS,Medium,How do you select every odd row of a table?,tr:nth-child(odd) { ... }
Frontend,CSS,Medium,What does the clip-path property do?,"Defines a visible region of an element, hiding the rest."
Frontend,CSS,Medium,Explain the difference between inline SVG and CSS background SVG.,"Inline SVG is part of DOM and styleable, background SVG is treated like an image."
Frontend,CSS,Medium,How would you apply different styles for high-resolution screens (retina)?,Use @media only screen and (min-resolution: 2dppx) { ... }.
Frontend,CSS,Medium,What is the difference between relative and absolute imports of fonts?,"Relative depends on file location, absolute is a full URL (like Google Fonts)."
Frontend,CSS,Medium,How do CSS variables (--var) differ from preprocessor variables like SASS?,CSS variables are runtime and cascade; SASS variables are compile-time only.
Frontend,CSS,Medium,Write CSS to apply hover effect only on devices that support hover.,@media (hover: hover) { a:hover { ... } }
Frontend,CSS,Medium,How can you force an element to stay inside a parent even if larger?,overflow: auto; or max-width: 100%;.
Frontend,CSS,Medium,What’s the difference between grid and flexbox?,"Flexbox is one-dimensional (row or column), grid is two-dimensional (rows and columns)."
Frontend,CSS,Medium,How do you create equal column heights using flexbox?,Flex items automatically stretch by default (align-items: stretch).
Frontend,CSS,Medium,Which property controls the order of flex items?,order property.
Frontend,CSS,Medium,How do you center an absolutely positioned element both horizontally and vertically?,"position: absolute; top:50%; left:50%; transform: translate(-50%, -50%);"
Frontend,CSS,Medium,What is the difference between relative and sticky positioning with scroll?,"Sticky toggles between relative and fixed when reaching threshold, relative never fixes."
Frontend,CSS,Medium,How do you select all elements with attribute starting with a certain value?,"[attr^=""value""]"
Frontend,CSS,Medium,Write CSS to add a custom cursor icon.,"cursor: url('icon.png'), auto;"
Frontend,CSS,Medium,What’s the difference between inline style and CSS variables in <style>?,"Inline style applies to single element, CSS variables can be reused globally."
Frontend,CSS,Medium,Explain how the cascade works when multiple CSS rules apply.,"CSS applies rules by specificity, importance (!important), and source order."
Frontend,CSS,Medium,How do you apply style only to empty elements?,:empty pseudo-class.
Frontend,CSS,Medium,What is the difference between visibility: hidden and opacity: 0?,"visibility: hidden removes interaction, opacity: 0 keeps interaction."
Frontend,CSS,Medium,Which CSS property defines flexible growth in flexbox?,flex-grow.
Frontend,CSS,Medium,How do you prevent child elements from overflowing a flex container?,flex-wrap: wrap;.
Frontend,CSS,Medium,Write CSS to select all links that open in a new tab.,"a[target=""_blank""] { ... }"
Frontend,CSS,Medium,How do you ensure a background image covers the full element?,background-size: cover;.
Frontend,CSS,Medium,Which property helps in smooth scrolling to anchors?,scroll-behavior: smooth;.
Frontend,CSS,Hard,Explain the difference between absolute and relative units in responsive design.,Absolute units don’t scale; relative units adjust with viewport or parent.
Frontend,CSS,Medium,How do you force hardware acceleration for smoother animations?,Use transform: translateZ(0);.
Frontend,CSS,Medium,What is the difference between inline-flex and flex?,inline-flex behaves like inline but children are flex items; flex is block-level.
Frontend,CSS,Hard,How does the browser render CSS from parsing to painting?,"It builds DOM + CSSOM, merges into render tree, computes layout, then paints pixels."
Frontend,CSS,Hard,Explain reflow vs repaint in CSS.,Reflow recalculates positions/layout; repaint updates visuals without changing layout.
Frontend,CSS,Hard,Which CSS properties trigger GPU acceleration?,"Transforms (translate, scale, rotate) and opacity are GPU-accelerated."
Frontend,CSS,Hard,Why can will-change improve performance but also harm it?,"It hints the browser to optimize elements, but overuse consumes memory."
Frontend,CSS,Hard,Differentiate between stacking context and z-index.,Stacking context is a hierarchy formed by certain properties; z-index works only within its context.
Frontend,CSS,Hard,How do container queries differ from media queries?,"Media queries depend on viewport size, container queries depend on parent container size."
Frontend,CSS,Hard,What is the difference between CSS Grid subgrid and normal grid?,Subgrid allows child elements to inherit parent’s grid tracks for alignment.
Frontend,CSS,Hard,Explain the concept of Critical CSS.,"It’s the minimum CSS needed for above-the-fold content, loaded inline for faster rendering."
Frontend,CSS,Hard,How do you implement CSS scoping without Shadow DOM?,"Using :where(), BEM naming, or scoping classes."
Frontend,CSS,Hard,Why is @layer introduced in CSS?,To control cascade layers explicitly and manage conflicts in large codebases.
Frontend,CSS,Hard,How does CSS contain property improve performance?,It isolates rendering of elements to reduce reflow/repaint costs.
Frontend,CSS,Hard,Explain the difference between subpixel rendering and normal rendering.,Subpixel rendering uses fractions of pixels to improve sharpness on high-DPI screens.
Frontend,CSS,Hard,Why should you avoid * { margin:0; padding:0; } resets in large projects?,It can cause unnecessary reflows and override needed defaults; better to use modern normalize.css.
Frontend,CSS,Hard,How do you optimize animations for performance?,"Animate transform and opacity, avoid layout-affecting properties like width or top."
Frontend,CSS,Hard,What is the difference between logical properties and physical properties in CSS?,"Logical adapt to writing modes (margin-inline), physical are fixed (margin-left)."
Frontend,CSS,Hard,How do CSS custom properties differ from SASS variables at runtime?,"CSS vars are live, cascade, and can change dynamically; SASS vars are compile-time only."
